country_name,airport_name,length_ft,width_ft,runway_type
Afghanistan,Bagram Airfield,11820,151.0,Longest
Afghanistan,Andkhoy Airport,2480,60.0,Shortest
Albania,Kuçovë Air Base,9318,220.0,Longest
Albania,Vlorë Air Base,2813,195.0,Shortest
Algeria,Tinfouchy Airport,12737,246.0,Longest
Algeria,Mostaganem Airport,2275,100.0,Shortest
American Samoa,Pago Pago International Airport,10000,150.0,Longest
American Samoa,Ofu Airport,2000,60.0,Shortest
Angola,Quatro de Fevereiro Airport,12190,148.0,Longest
Angola,Sumbe Airport,3115,60.0,Shortest
Anguilla,Clayton J Lloyd International Airport,5462,98.0,Longest
Anguilla,Clayton J Lloyd International Airport,5462,98.0,Shortest
Antarctica,South Pole Station Airport,12000,200.0,Longest
Antarctica,Palmer Station Airport,2500,100.0,Shortest
Antigua and Barbuda,V.C. Bird International Airport,9003,148.0,Longest
Antigua and Barbuda,V.C. Bird International Airport,9003,148.0,Shortest
Argentina,Piloto Civil N. Fernández Airport,11644,148.0,Longest
Argentina,Villa Del Rosario Airport,0,0.0,Shortest
Armenia,Zvartnots International Airport,12629,184.0,Longest
Armenia,Arzni Airport,3252,250.0,Shortest
Aruba,Queen Beatrix International Airport,9000,148.0,Longest
Aruba,Queen Beatrix International Airport,9000,148.0,Shortest
Australia,Sydney Kingsford Smith International Airport,12999,148.0,Longest
Australia,Robinhood Airport,0,,Shortest
Austria,Vienna International Airport,11811,148.0,Longest
Austria,Gmünd Heliport,50,50.0,Shortest
Azerbaijan,Heydar Aliyev International Airport,13123,197.0,Longest
Azerbaijan,Balakan Airport,3966,120.0,Shortest
Bahamas,Lynden Pindling International Airport,11353,150.0,Longest
Bahamas,Black Point Airstrip,2500,80.0,Shortest
Bahrain,Bahrain International Airport,12979,197.0,Longest
Bahrain,Bahrain International Airport,8302,148.0,Shortest
Bangladesh,Hazrat Shahjalal International Airport,11500,150.0,Longest
Bangladesh,Ishurdi Airport,4700,80.0,Shortest
Barbados,Grantley Adams International Airport,11000,150.0,Longest
Barbados,Grantley Adams International Airport,11000,150.0,Shortest
Belarus,Minsk National Airport,12139,197.0,Longest
Belarus,Borisovo Air Base,1640,66.0,Shortest
Belgium,Liège Airport,12106,148.0,Longest
Belgium,Lint Heliport,69,69.0,Shortest
Belize,Riversdale International Airport,9022,197.0,Longest
Belize,San Ignacio Town (Maya Flats) Airstrip,2135,31.0,Shortest
Benin,Cadjehoun Airport,7874,148.0,Longest
Benin,Parakou Airport,5249,,Shortest
Bermuda,L.F. Wade International International Airport,9705,150.0,Longest
Bermuda,L.F. Wade International International Airport,9705,150.0,Shortest
Bhutan,Paro Airport,7431,98.0,Longest
Bhutan,Bathpalathang Airport,3937,,Shortest
Bolivia,El Alto International Airport,13123,151.0,Longest
Bolivia,Capitán Av. Juan Cochamanidis S. Airport,3936,,Shortest
Bosnia and Herzegovina,Sarajevo International Airport,8666,150.0,Longest
Bosnia and Herzegovina,Visoko Sport Airfield,2362,98.0,Shortest
Botswana,Sir Seretse Khama International Airport,13123,148.0,Longest
Botswana,Nxamaseri Airport,2562,59.0,Shortest
Brazil,Rio Galeão – Tom Jobim International Airport,13123,148.0,Longest
Brazil,Carmel Hotels Helipad,20,20.0,Shortest
British Indian Ocean Territory,Diego Garcia Naval Support Facility,12003,200.0,Longest
British Indian Ocean Territory,Diego Garcia Naval Support Facility,12003,200.0,Shortest
British Virgin Islands,Terrance B. Lettsome International Airport,4642,89.0,Longest
British Virgin Islands,Captain Auguste George Airport,2500,,Shortest
Brunei,Brunei International Airport,12000,150.0,Longest
Brunei,Brunei International Airport,12000,150.0,Shortest
Bulgaria,Sofia Airport,11811,147.0,Longest
Bulgaria,Graf Ignatievo South Airport,1213,77.0,Shortest
Burkina Faso,Bobo Dioulasso Airport,10826,148.0,Longest
Burkina Faso,Ouagadougou Airport,6269,98.0,Shortest
Burma,Mandalay International Airport,14003,200.0,Longest
Burma,Lanywa Airport,3821,61.0,Shortest
Burundi,Bujumbura Melchior Ndadaye International Airport,11811,148.0,Longest
Burundi,Gitega Airport,3117,,Shortest
Cambodia,Phnom Penh International Airport,9843,144.0,Longest
Cambodia,Kampot Airport,1900,89.0,Shortest
Cameroon,Yaoundé Nsimalen International Airport,11155,148.0,Longest
Cameroon,Mamfe Airport,4495,,Shortest
Canada,Pontiac Airpark Water Aerodrome,120000,1000.0,Longest
Canada,Kitchener-Waterloo (Grand River Hospital) Heliport,30,30.0,Shortest
Cape Verde,Amílcar Cabral International Airport,10735,148.0,Longest
Cape Verde,Agostinho Neto Airport,1476,98.0,Shortest
Caribbean Netherlands,Flamingo International Airport,9449,148.0,Longest
Caribbean Netherlands,Juancho E. Yrausquin Airport,1300,,Shortest
Cayman Islands,Owen Roberts International Airport,7021,148.0,Longest
Cayman Islands,Edward Bodden Airfield,3275,,Shortest
Central African Republic,Bangui M'Poko International Airport,8530,148.0,Longest
Central African Republic,Yalinga Airport,3920,,Shortest
Chad,Abeche Airport,9186,98.0,Longest
Chad,N'Djamena International Airport,9186,148.0,Longest
Chad,Faya Largeau Airport,9186,148.0,Longest
Chad,Moundou Airport,5906,115.0,Shortest
Chad,Sarh Airport,5906,,Shortest
Chile,Comodoro Arturo Merino Benítez International Airport,12303,180.0,Longest
Chile,Comodoro Arturo Merino Benítez International Airport,12303,148.0,Longest
Chile,Pillán Airport,1247,49.0,Shortest
China,Qamdo Bangda Airport,18045,148.0,Longest
China,Badaling or YanQing Airport,2700,106.0,Shortest
Christmas Island,Christmas Island Airport,6900,148.0,Longest
Christmas Island,Christmas Island Airport,6900,148.0,Shortest
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,7999,148.0,Longest
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,7999,148.0,Shortest
Colombia,El Dorado International Airport,12467,148.0,Longest
Colombia,El Dorado International Airport,12467,148.0,Longest
Colombia,Melgar Air Base,1320,65.0,Shortest
Comoros,Prince Said Ibrahim International Airport,9514,148.0,Longest
Comoros,Mohéli Bandar Es Eslam Airport,4265,98.0,Shortest
Congo (Brazzaville),Oyo Ollombo Airport,10827,150.0,Longest
Congo (Brazzaville),Maya-Maya Airport,10827,148.0,Longest
Congo (Brazzaville),Owando Airport,5905,98.0,Shortest
Congo (Kinshasa),Ndjili International Airport,15420,197.0,Longest
Congo (Kinshasa),Bibanga Airport,2051,,Shortest
Cook Islands,Rarotonga International Airport,7638,150.0,Longest
Cook Islands,Mangaia Island Airport,3274,,Shortest
Costa Rica,Juan Santamaría International Airport,9882,151.0,Longest
Costa Rica,Drake Bay Airport,2461,,Shortest
Côte d'Ivoire,Bouaké Airport,10827,148.0,Longest
Côte d'Ivoire,Soko Airport,4921,,Shortest
Croatia,Dubrovnik Airport,10827,148.0,Longest
Croatia,Zvekovac,2083,125.0,Shortest
Cuba,Antonio Maceo International Airport,13130,148.0,Longest
Cuba,Florida Airport,3247,90.0,Shortest
Curaçao,Hato International Airport,11188,197.0,Longest
Curaçao,Hato International Airport,11188,197.0,Shortest
Cyprus,Larnaca International Airport,9776,148.0,Longest
Cyprus,Ercan International Airport,906,,Shortest
Czech Republic,Václav Havel Airport Prague,12189,148.0,Longest
Czech Republic,Zvole Western,980,67.0,Shortest
Denmark,Copenhagen Kastrup Airport,11811,148.0,Longest
Denmark,Holsted Helipad,39,39.0,Shortest
Djibouti,Djibouti-Ambouli Airport,10335,150.0,Longest
Djibouti,Chabelley Airport,7795,98.0,Shortest
Dominica,Douglas-Charles Airport,4777,148.0,Longest
Dominica,Canefield Airport,3130,75.0,Shortest
Dominican Republic,Las Américas International Airport,11000,200.0,Longest
Dominican Republic,Monte Cristi Airport,2625,,Shortest
Ecuador,Mariscal Sucre International Airport,13445,148.0,Longest
Ecuador,Vinces Airport,3001,59.0,Shortest
Egypt,Hurghada International Airport,13124,148.0,Longest
Egypt,Cairo International Airport,13124,197.0,Longest
Egypt,Borg El Arab International Airport,1347,148.0,Shortest
Egypt,Borg El Arab International Airport,1347,148.0,Shortest
El Salvador,Monseñor Óscar Arnulfo Romero International Airport,10500,148.0,Longest
El Salvador,Monseñor Óscar Arnulfo Romero International Airport,2625,75.0,Shortest
Equatorial Guinea,Bata Airport,10860,200.0,Longest
Equatorial Guinea,Annobón Airport,6177,100.0,Shortest
Eritrea,Assab International Airport,11531,148.0,Longest
Eritrea,Asmara International Airport,5951,148.0,Shortest
Estonia,Lennart Meri Tallinn Airport,11417,148.0,Longest
Estonia,Varstu Airfield,1312,66.0,Shortest
Eswatini,King Mswati III International Airport,11811,197.0,Longest
Eswatini,Matsapha Airport,8530,148.0,Shortest
Ethiopia,Addis Ababa Bole International Airport,12467,148.0,Longest
Ethiopia,Lideta Army Airport,3839,64.0,Shortest
Falkland Islands,Mount Pleasant Airport,8497,150.0,Longest
Falkland Islands,Port Stanley Airport,1110,42.0,Shortest
Faroe Islands,Vágar Airport,5902,98.0,Longest
Faroe Islands,Vágar Airport,5902,98.0,Shortest
Fiji,Nadi International Airport,10739,150.0,Longest
Fiji,Taunovo Airstrip,2395,50.0,Shortest
Finland,Helsinki Vantaa Airport,11286,197.0,Longest
Finland,Viitasaari Airfield,951,82.0,Shortest
France,Charles de Gaulle International Airport,13829,148.0,Longest
France,Lens Benifontaine Airfield,0,0.0,Shortest
France,Lens Benifontaine Airfield,0,0.0,Shortest
France,Dunkerque les Moeres Airfield,0,0.0,Shortest
French Guiana,Cayenne – Félix Eboué Airport,10486,148.0,Longest
French Guiana,Sinnamary Airport,1640,67.0,Shortest
French Polynesia,Faa'a International Airport,11360,148.0,Longest
French Polynesia,Apataki Airport,2854,,Shortest
French Southern Territories,Europa Island Airstrip,4921,,Longest
French Southern Territories,Juan de Nova Airstrip,4265,,Shortest
Gabon,M'Vengue El Hadj Omar Bongo Ondimba International Airport,10105,148.0,Longest
Gabon,Okondja Airport,4921,98.0,Shortest
Gambia,Banjul International Airport,11811,148.0,Longest
Gambia,Banjul International Airport,11811,148.0,Shortest
Georgia,Sukhumi Babushara /  Vladislav Ardzinba International Airport,12012,172.0,Longest
Georgia,Kutaisi West Airport,4692,114.0,Shortest
Germany,Munich Airport,13123,197.0,Longest
Germany,Frankfurt am Main Airport,13123,148.0,Longest
Germany,Frankfurt am Main Airport,13123,197.0,Longest
Germany,Munich Airport,13123,197.0,Longest
Germany,Berlin Brandenburg Airport,13123,148.0,Longest
Germany,Flughafen München-Riem,13123,197.0,Longest
Germany,Flughafen München-Riem,13123,197.0,Longest
Germany,Frankfurt am Main Airport,13123,148.0,Longest
Germany,Reichelsheim Airport,820,98.0,Shortest
Ghana,Kotoka International Airport,11165,200.0,Longest
Ghana,Sunyani Airport,4227,148.0,Shortest
Gibraltar,Gibraltar Airport,6000,150.0,Longest
Gibraltar,Gibraltar Airport,6000,150.0,Shortest
Greece,Eleftherios Venizelos International Airport,13123,148.0,Longest
Greece,Kopaida Dimitra Airfield,1936,82.0,Shortest
Greenland,Summit Ice Landingstrip,15000,200.0,Longest
Greenland,Narsaq Heliport,197,66.0,Shortest
Greenland,Narsaq Heliport,197,66.0,Shortest
Grenada,Point Salines International Airport,9003,148.0,Longest
Grenada,Lauriston Airport,2625,,Shortest
Guadeloupe,Pointe-à-Pitre Le Raizet,11499,148.0,Longest
Guadeloupe,La Désirade Airport,1985,,Shortest
Guam,Antonio B. Won Pat International Airport,12015,150.0,Longest
Guam,Barrigada Readiness Center Heliport,50,50.0,Shortest
Guatemala,Mundo Maya International Airport,9842,148.0,Longest
Guatemala,Bananera Airport,3236,33.0,Shortest
Guernsey,Guernsey Airport,5194,148.0,Longest
Guernsey,Alderney Airport,1630,121.0,Shortest
Guinea,Conakry International Airport,10826,148.0,Longest
Guinea,Nzérékoré Airport,4921,,Shortest
Guinea-Bissau,Osvaldo Vieira International Airport,10499,148.0,Longest
Guinea-Bissau,Quebo Airport,3958,70.0,Shortest
Guyana,Cheddi Jagan International Airport,7448,148.0,Longest
Guyana,Eugene F. Correira International Airport,4201,100.0,Shortest
Haiti,Toussaint Louverture International Airport,9974,141.0,Longest
Haiti,Les Cayes Airport,3220,80.0,Shortest
Honduras,Goloson International Airport,9875,147.0,Longest
Honduras,Sur Agropecuaria Airport,700,20.0,Shortest
Hong Kong,Hong Kong International Airport,12467,197.0,Longest
Hong Kong,Hong Kong International Airport,12467,197.0,Longest
Hong Kong,Shek Kong Air Base,6180,110.0,Shortest
Hungary,Budapest Liszt Ferenc International Airport,12162,149.0,Longest
Hungary,Győrújbarát Heliport,98,98.0,Shortest
Iceland,Keflavik International Airport,10056,197.0,Longest
Iceland,Forsæti Airport,2510,115.0,Shortest
India,Indira Gandhi International Airport,14534,197.0,Longest
India,Leh Kushok Bakula Rimpochee Airport,500,85.0,Shortest
India,Leh Kushok Bakula Rimpochee Airport,500,60.0,Shortest
Indonesia,Hang Nadim International Airport,13270,148.0,Longest
Indonesia,Waff Airstrip,1100,33.0,Shortest
Indonesia,Tiom Airport,1100,,Shortest
Iran,Bushehr Airport,14664,148.0,Longest
Iran,Hesa Airport,1091,40.0,Shortest
Iraq,Erbil International Airport,15748,246.0,Longest
Iraq,Erbil International Airport,4085,105.0,Shortest
Ireland,Shannon Airport,10495,148.0,Longest
Ireland,Shannon Airport,23,148.0,Shortest
Isle of Man,Isle of Man Airport,5751,151.0,Longest
Isle of Man,Isle of Man Airport,2963,89.0,Shortest
Israel,Ben Gurion International Airport,13327,148.0,Longest
Israel,Tnuvot Ultralight Airfield,2224,32.0,Shortest
Italy,Malpensa International Airport,12861,197.0,Longest
Italy,Malpensa International Airport,12861,197.0,Longest
Italy,Bari Karol Wojtyła Airport,512,164.0,Shortest
Jamaica,Norman Manley International Airport,8900,150.0,Longest
Jamaica,Ian Fleming International Airport,3000,75.0,Shortest
Japan,JASDF Chitose Air Base,13124,200.0,Longest
Japan,JMSDF Tateyama Air Base,984,148.0,Shortest
Jersey,Jersey Airport,5597,148.0,Longest
Jersey,Jersey Airport,5597,148.0,Shortest
Jordan,Queen Alia International Airport,12008,200.0,Longest
Jordan,Queen Alia International Airport,12008,200.0,Longest
Jordan,Zarqa Airport,4146,80.0,Shortest
Kazakhstan,Yubileyniy Airfield,14765,275.0,Longest
Kazakhstan,Semipalatinsk Airport,3270,253.0,Shortest
Kenya,Jomo Kenyatta International Airport,13507,148.0,Longest
Kenya,Lodwar Airport,1645,64.0,Shortest
Kiribati,Cassidy International Airport,6900,98.0,Longest
Kiribati,Tabiteuea North Airport,3365,103.0,Shortest
Kosovo,Priština Adem Jashari International Airport,8165,148.0,Longest
Kosovo,Gjakova Airport,5904,98.0,Shortest
Kuwait,Kuwait International Airport,11483,148.0,Longest
Kuwait,Udairi Army Air Field,5215,80.0,Shortest
Kyrgyzstan,Manas International Airport,13780,180.0,Longest
Kyrgyzstan,Tamga Airport,2788,574.0,Shortest
Laos,Wattay International Airport,9843,148.0,Longest
Laos,Phonesavanh Airport,3090,65.0,Shortest
Latvia,Riga International Airport,10499,148.0,Longest
Latvia,Grotūža lidlauks,1148,,Shortest
Lebanon,Beirut Rafic Hariri International Airport,12467,148.0,Longest
